bank,review,rating,date,source,cleaned
CBE,cool 😎,5,2025-10-27,Google Play,cool
CBE,Galaxy A10s,3,2025-10-26,Google Play,galaxy a10s
CBE,the best apps,5,2025-10-26,Google Play,the best apps
CBE,arif app new,5,2025-10-26,Google Play,arif app new
CBE,laga Bari biranch,5,2025-10-26,Google Play,laga bari biranch
CBE,ነነሠነሠሠነሠሠሠሠነየነ,5,2025-10-26,Google Play,
CBE,I would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,2025-10-25,Google Play,i would like to suggest you improve the time out as it takes the money and doesnt return it back until the next day
CBE,Attractive,5,2025-10-25,Google Play,attractive
CBE,mite,5,2025-10-24,Google Play,mite
CBE,useful,5,2025-10-24,Google Play,useful
CBE,"not good, not bad!",3,2025-10-23,Google Play,not good not bad
CBE,very good,5,2025-10-23,Google Play,very good
CBE,እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ 100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,1,2025-10-22,Google Play,100 10 ampsa
CBE,imp,5,2025-10-22,Google Play,imp
CBE,super fast app,5,2025-10-21,Google Play,super fast app
CBE,"The app has a nice design and useful features like balance check and transfers, but it’s unstable and often fails to connect. It also forces users to turn off Developer Options, which is unnecessary — other banking apps work fine without that. Many people use Developer Mode for normal reasons. Please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,2025-10-19,Google Play,the app has a nice design and useful features like balance check and transfers but its unstable and often fails to connect it also forces users to turn off developer options which is unnecessary other banking apps work fine without that many people use developer mode for normal reasons please fix performance issues remove this restriction and add biometric login for better security and convenience
CBE,cbe,4,2025-10-18,Google Play,cbe
CBE,"it says ""ti is work any more in your device"" what can i do??",1,2025-10-18,Google Play,it says ti is work any more in your device what can i do
CBE,blah blah blah,5,2025-10-18,Google Play,blah blah blah
CBE,bad ግዴታ መሆንሁ,1,2025-10-17,Google Play,bad
CBE,CBE no.1,5,2025-10-17,Google Play,cbe no1
CBE,"it's not work correctly when it's needed sometimes, but it works sometimes though",2,2025-10-16,Google Play,its not work correctly when its needed sometimes but it works sometimes though
CBE,its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,2025-10-16,Google Play,its easy to use and more secured than the previous one i love it and appreciate commercial bank of ethiopia for every time update
CBE,gooof,5,2025-10-16,Google Play,gooof
