bank,review,rating,date,source,cleaned,sentiment,theme
CBE,very updated bank,5,2025-11-06,Google Play,update bank,POSITIVE,Other
CBE,tankyu,5,2025-11-05,Google Play,tankyu,POSITIVE,Other
CBE,Numbers 2 and 3 don't write during pin verification.,5,2025-11-05,Google Play,number write pin verification,NEGATIVE,Other
CBE,"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05,Google Play,uninstalle need visit nearby bank ask new sim card buy new sim card new sim card reach service provider say authentication pin arrive system work come tomorrow,NEGATIVE,Other
CBE,loved it,5,2025-11-05,Google Play,love,POSITIVE,Other
CBE,this app is not working on my phone,5,2025-11-03,Google Play,app work phone,NEGATIVE,Other
CBE,CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,3,2025-11-03,Google Play,CBE need transaction fee transaction confirm big issue fee long insignificant,NEGATIVE,Other
CBE,"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.",1,2025-11-03,Google Play,recent update unable download receipt name account holder previously transact important fix asap,NEGATIVE,Other
CBE,wow 😘😘😘,4,2025-11-02,Google Play,wow,POSITIVE,Other
CBE,mobile banking broblem,5,2025-11-01,Google Play,mobile banking broblem,NEGATIVE,Other
CBE,good job,5,2025-11-01,Google Play,good job,POSITIVE,Other
CBE,it is a good and clear apps to use,4,2025-10-31,Google Play,good clear app use,POSITIVE,Other
CBE,ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,2025-10-31,Google Play,ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር ብር ሲተላለፍ ብር እንዲቆርጥ ያደረጋችሁት,NEGATIVE,Other
CBE,I love this app b/c every option in the app very clear and supportive.,5,2025-10-30,Google Play,love app b c option app clear supportive,POSITIVE,Customer Support
CBE,niiceh,5,2025-10-29,Google Play,niiceh,POSITIVE,Other
CBE,the app is good but their is no dark mode you have to add it,3,2025-10-29,Google Play,app good dark mode add,POSITIVE,Feature Requests
CBE,🤮,1,2025-10-29,Google Play,,POSITIVE,Other
CBE,abdulakim abrahim elemoo,5,2025-10-29,Google Play,abdulakim abrahim elemoo,POSITIVE,Other
CBE,strong,5,2025-10-28,Google Play,strong,POSITIVE,Other
CBE,Abebaw Zenebe,5,2025-10-28,Google Play,Abebaw Zenebe,NEGATIVE,Other
CBE,good I love it keep it up but if we had a new update that will be fire Soo good,5,2025-10-27,Google Play,good love new update fire Soo good,POSITIVE,Other
CBE,Cbe,5,2025-10-27,Google Play,cbe,POSITIVE,Other
CBE,Active and granted system,5,2025-10-27,Google Play,active grant system,POSITIVE,Other
CBE,fast app,4,2025-10-27,Google Play,fast app,POSITIVE,Other
CBE,cool 😎,5,2025-10-27,Google Play,cool,POSITIVE,Other
CBE,Galaxy A10s,3,2025-10-26,Google Play,Galaxy,POSITIVE,Other
CBE,the best apps,5,2025-10-26,Google Play,good app,POSITIVE,Other
CBE,arif app new,5,2025-10-26,Google Play,arif app new,NEGATIVE,Other
CBE,laga Bari biranch,5,2025-10-26,Google Play,laga Bari biranch,NEGATIVE,Transaction Performance
CBE,ነነሠነሠሠነሠሠሠሠነየነ,5,2025-10-26,Google Play,ነነሠነሠሠነሠሠሠሠነየነ,NEGATIVE,Other
CBE,I would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,2025-10-25,Google Play,like suggest improve time take money return day,NEGATIVE,Other
CBE,Attractive,5,2025-10-25,Google Play,attractive,POSITIVE,Other
CBE,mite,5,2025-10-24,Google Play,mite,NEGATIVE,Other
CBE,useful,5,2025-10-24,Google Play,useful,POSITIVE,Other
CBE,"not good, not bad!",3,2025-10-23,Google Play,good bad,POSITIVE,Other
CBE,very good,5,2025-10-23,Google Play,good,POSITIVE,Other
CBE,እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ 100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,1,2025-10-22,Google Play,እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,NEGATIVE,Other
CBE,imp,5,2025-10-22,Google Play,imp,NEGATIVE,Other
CBE,super fast app,5,2025-10-21,Google Play,super fast app,POSITIVE,Other
CBE,"The app has a nice design and useful features like balance check and transfers, but it’s unstable and often fails to connect. It also forces users to turn off Developer Options, which is unnecessary — other banking apps work fine without that. Many people use Developer Mode for normal reasons. Please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,2025-10-19,Google Play,app nice design useful feature like balance check transfer unstable fail connect force user turn Developer Options unnecessary banking app work fine people use Developer Mode normal reason fix performance issue remove restriction add biometric login well security convenience,NEGATIVE,Account Access Issues
CBE,cbe,4,2025-10-18,Google Play,cbe,POSITIVE,Other
CBE,"it says ""ti is work any more in your device"" what can i do??",1,2025-10-18,Google Play,say ti work device,NEGATIVE,Other
CBE,blah blah blah,5,2025-10-18,Google Play,blah blah blah,NEGATIVE,Other
CBE,bad ግዴታ መሆንሁ,1,2025-10-17,Google Play,bad ግዴታ መሆንሁ,NEGATIVE,Other
CBE,CBE no.1,5,2025-10-17,Google Play,CBE,POSITIVE,Other
CBE,"it's not work correctly when it's needed sometimes, but it works sometimes though",2,2025-10-16,Google Play,work correctly need work,POSITIVE,Other
CBE,its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,2025-10-16,Google Play,easy use secured previous love appreciate commercial bank ethiopia time update,NEGATIVE,Other
CBE,gooof,5,2025-10-16,Google Play,gooof,NEGATIVE,Other
CBE,"Suddenly the cbe application I was using stopped working and called callcenter, I was told it's because it expired and I should vist any branch to fix it. So I went to CBE Silassie branch.After filling a form they gave me, I sat down and waited until they finish fixing 2 customer's case who arrived before me. But then when it was my turn ppl who came after me with same mobile banking and even Atm card cases were finishing up and leaving I had to get back to my work so I left.with no service.why?",1,2025-10-16,Google Play,suddenly cbe application stop work call callcenter tell expire vist branch fix go CBE Silassie branch fill form give sit wait finish fix customer case arrive turn ppl come mobile banking Atm card case finish leave work,NEGATIVE,Other
CBE,Best app,5,2025-10-16,Google Play,good app,POSITIVE,Other
CBE,still not perfect like before,1,2025-10-15,Google Play,perfect like,POSITIVE,Other
CBE,This app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. I think it is a risk full app😭😭😭🤤🤤,1,2025-10-15,Google Play,app dash board disturb show traxation balance display option dashboard think risk app,NEGATIVE,Other
CBE,APPLIED,1,2025-10-14,Google Play,apply,POSITIVE,Other
CBE,10 years ago,4,2025-10-14,Google Play,year ago,POSITIVE,Other
CBE,Asefa Obsa,5,2025-10-14,Google Play,Asefa Obsa,NEGATIVE,Other
CBE,it's good app,5,2025-10-14,Google Play,good app,POSITIVE,Other
CBE,very slow,1,2025-10-14,Google Play,slow,NEGATIVE,Transaction Performance
CBE,berhan deriba wami,4,2025-10-14,Google Play,berhan deriba wami,POSITIVE,Other
